BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C--1D--1H--1S--1N--2C--2H--2S--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--,3S,6+!D; 1 top-honor
1C--1D--1H--1S--1N--2C--2H--2S--3S--,3N,ASK honor
1C--1D--1H--1S--1N--2C--2H--2S--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--,4C,5+!D; 3 top-honors
1C--1D--1H--1S--1N--2C--2H--2S--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2H--2S--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--,2N,5+!S
1C--1D--1H--1S--1N--2C--2N--,3C,ASK distrib
1C--1D--1H--1S--1N--2C--2N--3C--,3D,5+!S; No top-honor
1C--1D--1H--1S--1N--2C--2N--3C--3D--,3H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3D--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--,3H,5!S; 1 top-honor
1C--1D--1H--1S--1N--2C--2N--3C--3H--,3S,ASK honor
1C--1D--1H--1S--1N--2C--2N--3C--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--,3N,6+!S; 1 top-honor
1C--1D--1H--1S--1N--2C--2N--3C--3N--,4C,ASK honor
1C--1D--1H--1S--1N--2C--2N--3C--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--,3S,5!S; 2 top-honors
1C--1D--1H--1S--1N--2C--2N--3C--3S--,3N,ASK honors
1C--1D--1H--1S--1N--2C--2N--3C--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--,4C,6+!S; 2 top-honors
1C--1D--1H--1S--1N--2C--2N--3C--4C--,4D,ASK honors
1C--1D--1H--1S--1N--2C--2N--3C--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--,4D,5+!S; 3 top-honors
1C--1D--1H--1S--1N--2C--2N--3C--4D--,4H,5+!H; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2N--3C--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--,2S,5+!H
1C--1D--1H--1S--1N--2C--2S--,2N,ASK distrib
1C--1D--1H--1S--1N--2C--2S--2N--,3C,5+!H; No top-honor
1C--1D--1H--1S--1N--2C--2S--2N--3C--,3D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3C--,3S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3C--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--,3D,5!H; 1 top-honor
1C--1D--1H--1S--1N--2C--2S--2N--3D--,3H,ASK honor
1C--1D--1H--1S--1N--2C--2S--2N--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3D--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--,3H,5!H; 2 top-honors
1C--1D--1H--1S--1N--2C--2S--2N--3H--,3S,ASK honors
1C--1D--1H--1S--1N--2C--2S--2N--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3H--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--,3N,6+!H; 2 top-honors
1C--1D--1H--1S--1N--2C--2S--2N--3N--,4C,ASK honors
1C--1D--1H--1S--1N--2C--2S--2N--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--,3S,6+!H; 1 top-honor
1C--1D--1H--1S--1N--2C--2S--2N--3S--,3N,ASK honor
1C--1D--1H--1S--1N--2C--2S--2N--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--,4C,5+!H; 3 top-honors
1C--1D--1H--1S--1N--2C--2S--2N--4C--,4D,6+!D; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--1N--2C--2S--2N--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--,2C,4 CTRL
1C--1D--1H--1S--2C--,2D,ASK distrib
1C--1D--1H--1S--2C--2D--,2H,*5+!C   *4432; 4333
1C--1D--1H--1S--2C--2D--2H--,2S,ASK distrib
1C--1D--1H--1S--2C--2D--2H--2S--,2N,Balanced; 4432; 4333
1C--1D--1H--1S--2C--2D--2H--2S--2N--,3C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--2N--,3D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--2N--,3H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--2N--,3N,Baron; bid 4card suits up the line
1C--1D--1H--1S--2C--2D--2H--2S--2N--,3S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,3C,5+!C; No top-honor
1C--1D--1H--1S--2C--2D--2H--2S--3C--,3D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3C--,3H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3C--,3S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,3D,5!C; 1 top-honor
1C--1D--1H--1S--2C--2D--2H--2S--3D--,3H,ASK honor
1C--1D--1H--1S--2C--2D--2H--2S--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3D--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,3H,5!C; 2 top-honors
1C--1D--1H--1S--2C--2D--2H--2S--3H--,3S,ASK honors
1C--1D--1H--1S--2C--2D--2H--2S--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3H--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,3N,6+!C; 2 top-honors
1C--1D--1H--1S--2C--2D--2H--2S--3N--,4C,ASK honors
1C--1D--1H--1S--2C--2D--2H--2S--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,3S,6+!C; 1 top-honor
1C--1D--1H--1S--2C--2D--2H--2S--3S--,3N,ASK honor
1C--1D--1H--1S--2C--2D--2H--2S--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--,4C,5+!C; 3 top-honors
1C--1D--1H--1S--2C--2D--2H--2S--4C--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2H--2S--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--,2N,5+!H
1C--1D--1H--1S--2C--2D--2N--,3C,ASK distrib
1C--1D--1H--1S--2C--2D--2N--3C--,3D,5+!H; No top-honor
1C--1D--1H--1S--2C--2D--2N--3C--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3D--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--,3H,5!H; 1 top-honor
1C--1D--1H--1S--2C--2D--2N--3C--3H--,3S,ASK honor
1C--1D--1H--1S--2C--2D--2N--3C--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3H--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--,3N,6+!H; 1 top-honor
1C--1D--1H--1S--2C--2D--2N--3C--3N--,4C,ASK honor
1C--1D--1H--1S--2C--2D--2N--3C--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--,3S,5!H; 2 top-honors
1C--1D--1H--1S--2C--2D--2N--3C--3S--,3N,ASK honors
1C--1D--1H--1S--2C--2D--2N--3C--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--,4C,6+!H; 2 top-honors
1C--1D--1H--1S--2C--2D--2N--3C--4C--,4D,ASK honors
1C--1D--1H--1S--2C--2D--2N--3C--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--,4D,5+!H; 3 top-honors
1C--1D--1H--1S--2C--2D--2N--3C--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2N--3C--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--,2S,*5+!D   *Any 3-suiter
1C--1D--1H--1S--2C--2D--2S--,2N,ASK distrib
1C--1D--1H--1S--2C--2D--2S--2N--,3C,Any 3-suiter
1C--1D--1H--1S--2C--2D--2S--2N--3C--,3D,ASK short
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--,3H,4-4-4-1
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3H--,3N,ASK single or void
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3H--,3S,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3H--,4D,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3H--,4H,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--,3N,4-1-4-4
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3N--,4C,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3N--,4D,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3N--,4N,ASK single or void
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3N--,4S,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--,3S,4-4-1-4
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3S--,3N,ASK single or void
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3S--,4C,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3S--,4H,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--3S--,4S,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--,4C,1-4-4-4
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--4C--,4D,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--4C--,4H,CAB
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--4C--,4N,ASK single or void
1C--1D--1H--1S--2C--2D--2S--2N--3C--3D--4C--,5C,CAB
1C--1D--1H--1S--2C--2D--2S--2N--,3D,5+!D; No top-honor
1C--1D--1H--1S--2C--2D--2S--2N--3D--,3H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3D--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--,3H,5!D; 1 top-honor
1C--1D--1H--1S--2C--2D--2S--2N--3H--,3S,ASK honor
1C--1D--1H--1S--2C--2D--2S--2N--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3H--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--,3N,6+!D; 1 top-honor
1C--1D--1H--1S--2C--2D--2S--2N--3N--,4C,ASK honor
1C--1D--1H--1S--2C--2D--2S--2N--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--,3S,5!D; 2 top-honors
1C--1D--1H--1S--2C--2D--2S--2N--3S--,3N,ASK honor
1C--1D--1H--1S--2C--2D--2S--2N--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--,4C,6+!D; 2 top-honors
1C--1D--1H--1S--2C--2D--2S--2N--4C--,4D,ASK honors
1C--1D--1H--1S--2C--2D--2S--2N--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--,4D,5+!D; 3 top-honors
1C--1D--1H--1S--2C--2D--2S--2N--4D--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2C--2D--2S--2N--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--,3C,5+!S
1C--1D--1H--1S--2C--2D--3C--,3D,ASK distrib
1C--1D--1H--1S--2C--2D--3C--3D--,3H,5+!S; No top-honor
1C--1D--1H--1S--2C--2D--3C--3D--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--,3N,5!S; 2 top-honors
1C--1D--1H--1S--2C--2D--3C--3D--3N--,4C,ASK honors
1C--1D--1H--1S--2C--2D--3C--3D--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--,3S,5!S; 1 top-honor
1C--1D--1H--1S--2C--2D--3C--3D--3S--,3N,ASK honor
1C--1D--1H--1S--2C--2D--3C--3D--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--,4C,6+!S; 1 top-honor
1C--1D--1H--1S--2C--2D--3C--3D--4C--,4D,ASK honor
1C--1D--1H--1S--2C--2D--3C--3D--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--,4D,6+!S; 2 top-honors
1C--1D--1H--1S--2C--2D--3C--3D--4D--,4H,ASK honors
1C--1D--1H--1S--2C--2D--3C--3D--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--,4H,5+!S; 3 top-honors 
1C--1D--1H--1S--2C--2D--3C--3D--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2C--2D--3C--3D--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--,2D,5 CTRL
1C--1D--1H--1S--2D--,2H,ASK distrib
1C--1D--1H--1S--2D--2H--,2N,*5+!D   *Any 3-suiter
1C--1D--1H--1S--2D--2H--2N--,3C,ASK distrib
1C--1D--1H--1S--2D--2H--2N--3C--,3D,Any 3-suiter
1C--1D--1H--1S--2D--2H--2N--3C--3D--,3H,ASK short
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--,3N,4-4-1-4
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3N--,4C,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3N--,4D,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3N--,4H,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3N--,4N,ASK single or void
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3N--,4S,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--,3S,4-4-4-1
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3S--,3N,ASK single or void
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3S--,4C,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3S--,4D,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3S--,4H,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--3S--,4S,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--,4C,4-1-4-4
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4C--,4D,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4C--,4H,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4C--,4N,ASK single or void
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4C--,4S,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4C--,5C,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--,4D,1-4-4-4
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4D--,4H,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4D--,4N,ASK single or void
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4D--,4S,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4D--,5C,CAB
1C--1D--1H--1S--2D--2H--2N--3C--3D--3H--4D--,5D,CAB
1C--1D--1H--1S--2D--2H--2N--3C--,3H,5+!D; No top-honor
1C--1D--1H--1S--2D--2H--2N--3C--3H--,3S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--,3N,5!D; 2 top-honors
1C--1D--1H--1S--2D--2H--2N--3C--3N--,4C,ASK honors
1C--1D--1H--1S--2D--2H--2N--3C--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--,3S,5!D; 1 top-honor
1C--1D--1H--1S--2D--2H--2N--3C--3S--,3N,ASK honor
1C--1D--1H--1S--2D--2H--2N--3C--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--,4C,6+!D; 1 top-honor
1C--1D--1H--1S--2D--2H--2N--3C--4C--,4D,ASK honor
1C--1D--1H--1S--2D--2H--2N--3C--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--,4D,6+!D; 2 top-honors
1C--1D--1H--1S--2D--2H--2N--3C--4D--,4H,ASK honors 
1C--1D--1H--1S--2D--2H--2N--3C--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--,4H,5+!D; 3 top-honors
1C--1D--1H--1S--2D--2H--2N--3C--4H--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2N--3C--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--,2S,*5+!C   *Balanced; 4432; 4333
1C--1D--1H--1S--2D--2H--2S--,2N,ASK distrib
1C--1D--1H--1S--2D--2H--2S--2N--,3C,Balanced; 4432; 4333
1C--1D--1H--1S--2D--2H--2S--2N--3C--,3D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3C--,3H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3C--,3N,Baron; bid 4card suits up the line
1C--1D--1H--1S--2D--2H--2S--2N--3C--,3S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3C--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,3D,5+!C; No top-honor
1C--1D--1H--1S--2D--2H--2S--2N--3D--,3H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,3H,5!C; 1 top-honor
1C--1D--1H--1S--2D--2H--2S--2N--3H--,3S,ASK honor
1C--1D--1H--1S--2D--2H--2S--2N--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3H--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,3N,6+!C; 1 top-honor
1C--1D--1H--1S--2D--2H--2S--2N--3N--,4C,ASK honor
1C--1D--1H--1S--2D--2H--2S--2N--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,3S,5!C; 2 top-honors
1C--1D--1H--1S--2D--2H--2S--2N--3S--,3N,ASK honors
1C--1D--1H--1S--2D--2H--2S--2N--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,4C,6+!C; 2 top-honors
1C--1D--1H--1S--2D--2H--2S--2N--4C--,4D,ASK honors
1C--1D--1H--1S--2D--2H--2S--2N--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--,4D,5+!C; 3 top-honors
1C--1D--1H--1S--2D--2H--2S--2N--4D--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--2S--2N--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--,3C,5+!H
1C--1D--1H--1S--2D--2H--3C--,3D,ASK distrib
1C--1D--1H--1S--2D--2H--3C--3D--,3H,5+!H; No top-honor
1C--1D--1H--1S--2D--2H--3C--3D--3H--,3S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3H--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--,3N,5!H; 2 top-honors
1C--1D--1H--1S--2D--2H--3C--3D--3N--,4C,ASK honors
1C--1D--1H--1S--2D--2H--3C--3D--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--,3S,5!H; 1 top-honor
1C--1D--1H--1S--2D--2H--3C--3D--3S--,3N,ASK honor
1C--1D--1H--1S--2D--2H--3C--3D--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--,4C,6+!H; 1 top-honor
1C--1D--1H--1S--2D--2H--3C--3D--4C--,4D,ASK honor
1C--1D--1H--1S--2D--2H--3C--3D--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--,4D,6+!H; 2 top-honors
1C--1D--1H--1S--2D--2H--3C--3D--4D--,4H,ASK honors
1C--1D--1H--1S--2D--2H--3C--3D--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--,4H,5+!H; 3 top-honors
1C--1D--1H--1S--2D--2H--3C--3D--4H--,4S,5+!S; ASK support
1C--1D--1H--1S--2D--2H--3C--3D--4H--,5C,6+!C; ASK support
